河北频道,#genre#
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8
内蒙古卫视,http://121.24.99.99:8090/hls/43/index.m3u8
北京卫视,http://111.225.95.129:33333/hls/25/index.m3u8
北京卫视,http://111.61.236.247:9081/hls/28/index.m3u8
北京卫视,http://121.24.99.99:8090/hls/32/index.m3u8
吉林卫视,http://111.225.95.129:33333/hls/51/index.m3u8
吉林卫视,http://111.61.236.247:9081/hls/45/index.m3u8
吉林卫视,http://121.24.99.99:8090/hls/37/index.m3u8
四川卫视,http://111.225.95.129:33333/hls/54/index.m3u8
四川卫视,http://111.61.236.247:9081/hls/35/index.m3u8
四川卫视,http://121.24.99.99:8090/hls/58/index.m3u8
天津卫视,http://111.225.95.129:33333/hls/32/index.m3u8
天津卫视,http://111.61.236.247:9081/hls/29/index.m3u8
天津卫视,http://121.24.99.99:8090/hls/33/index.m3u8
宁夏卫视,http://111.225.95.129:33333/hls/46/index.m3u8
宁夏卫视,http://111.61.236.247:9081/hls/51/index.m3u8
宁夏卫视,http://121.24.99.99:8090/hls/49/index.m3u8
安徽卫视,http://111.225.95.129:33333/hls/43/index.m3u8
安徽卫视,http://111.61.236.247:9081/hls/27/index.m3u8
安徽卫视,http://121.24.99.99:8090/hls/81/index.m3u8
山东卫视,http://111.225.95.129:33333/hls/33/index.m3u8
山东卫视,http://111.61.236.247:9081/hls/31/index.m3u8
山东卫视,http://121.24.99.99:8090/hls/39/index.m3u8
山西卫视,http://111.225.95.129:33333/hls/40/index.m3u8
山西卫视,http://111.61.236.247:9081/hls/47/index.m3u8
山西卫视,http://121.24.99.99:8090/hls/35/index.m3u8
广东卫视,http://111.225.95.129:33333/hls/34/index.m3u8
广东卫视,http://111.61.236.247:9081/hls/43/index.m3u8
广东卫视,http://121.24.99.99:8090/hls/82/index.m3u8
广西卫视,http://111.225.95.129:33333/hls/38/index.m3u8
广西卫视,http://111.61.236.247:9081/hls/44/index.m3u8
广西卫视,http://121.24.99.99:8090/hls/85/index.m3u8
新疆卫视,http://111.225.95.129:33333/hls/56/index.m3u8
新疆卫视,http://111.61.236.247:9081/hls/53/index.m3u8
新疆卫视,http://121.24.99.99:8090/hls/61/index.m3u8
旅游卫视,http://111.61.236.247:9081/hls/50/index.m3u8
旅游卫视,http://121.24.99.99:8090/hls/52/index.m3u8
江苏卫视,http://111.225.95.129:33333/hls/29/index.m3u8
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8
江苏卫视,http://121.24.99.99:8090/hls/38/index.m3u8
江西卫视,http://111.225.95.129:33333/hls/49/index.m3u8
江西卫视,http://111.61.236.247:9081/hls/36/index.m3u8
江西卫视,http://121.24.99.99:8090/hls/55/index.m3u8
河北卫视,http://111.225.95.129:33333/hls/18/index.m3u8
河北卫视,http://111.61.236.247:9081/hls/17/index.m3u8
河北卫视,http://121.24.99.99:8090/hls/25/index.m3u8
河南卫视,http://111.225.95.129:33333/hls/52/index.m3u8
河南卫视,http://111.61.236.247:9081/hls/33/index.m3u8
